txn_id,user_id,date,amount,category,sub_category,payment_method,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,pendapatan_bulan,spending_ratio,user_lat,user_long,merch_lat,merch_long,dist_user_merchant,is_fraud,is_night,is_weekend,month,day_of_week,hour,quarter,is_month_start,is_month_end,day_name,week,amount_idr_bucket,above_avg,category_freq_enc,age_group,amount_lag1,amount_diff,rolling_7txn,rolling_30txn,rolling_7_mean,is_spike
TXN0000018,BUDU00001,2024-12-18 19:11:38,30100,Sembako & Kebutuhan Pokok,Giant,Ovo,P,37,D,Kelas D (Menengah Bawah),Guru Honorer,Desa Sejahtera,Desa,4100,1734027,0.774,-6.2408,106.6337,-6.4537,106.6722,0.2164,0,0,0,12,2,19,4,0,0,Wed,51,<50k,0,0.11752823061228612,35-44,43300.0,-13200.0,327000.0,1705500.0,46714.28571428572,0
TXN0000028,BUDU00002,2023-01-11 18:32:59,25500,Makanan & Minuman,Jus Buah,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8389,106.4005,0.2663,0,0,0,1,2,18,1,0,0,Wed,2,<50k,0,0.19358422721855242,25-34,,0.0,25500.0,25500.0,25500.0,0
TXN0000029,BUDU00002,2023-02-15 08:15:53,15300,Pulsa & Data,Tri (3),Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.771,106.426,0.3388,0,0,0,2,2,8,1,0,0,Wed,7,<50k,0,0.04290649051572632,25-34,25500.0,-10200.0,40800.0,40800.0,20400.0,0
TXN0000042,BUDU00002,2023-02-28 11:48:50,6800,Sembako & Kebutuhan Pokok,Alfamart,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8518,106.4225,0.2632,0,0,0,2,1,11,1,0,1,Tue,9,<50k,0,0.11752823061228612,25-34,15300.0,-8500.0,47600.0,47600.0,15866.666666666666,0
TXN0000030,BUDU00002,2023-04-13 07:38:25,4600,Pulsa & Data,Indosat Ooredoo,Ovo,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7583,106.4026,0.3435,0,0,0,4,3,7,2,0,0,Thu,15,<50k,0,0.04290649051572632,25-34,6800.0,-2200.0,52200.0,52200.0,13050.0,0
TXN0000041,BUDU00002,2023-06-05 20:05:43,23600,Transportasi,Bus Kota,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8413,106.4354,0.2783,0,1,0,6,0,20,2,1,0,Mon,23,<50k,0,0.09559016625255035,25-34,4600.0,19000.0,75800.0,75800.0,15160.0,0
TXN0000043,BUDU00002,2023-07-04 17:55:46,22700,Transportasi,Bbm Pertamina,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7565,106.3996,0.3445,0,0,0,7,1,17,3,1,0,Tue,27,<50k,0,0.09559016625255035,25-34,23600.0,-900.0,98500.0,98500.0,16416.666666666668,0
TXN0000046,BUDU00002,2023-08-08 08:05:08,40200,Makanan & Minuman,Gofood/Grabfood,Ovo,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7968,106.464,0.331,0,0,0,8,1,8,3,0,0,Tue,32,<50k,0,0.19358422721855242,25-34,22700.0,17500.0,138700.0,138700.0,19814.285714285714,1
TXN0000050,BUDU00002,2023-08-09 12:11:04,36200,Sembako & Kebutuhan Pokok,Giant,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7986,106.4649,0.3299,0,0,0,8,2,12,3,0,0,Wed,32,<50k,0,0.11752823061228612,25-34,40200.0,-4000.0,149400.0,174900.0,21342.85714285714,0
TXN0000049,BUDU00002,2023-10-18 09:25:10,12300,Pulsa & Data,Indihome,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7688,106.4816,0.364,0,0,0,10,2,9,4,0,0,Wed,42,<50k,0,0.04290649051572632,25-34,36200.0,-23900.0,146400.0,187200.0,20914.285714285714,0
TXN0000033,BUDU00002,2023-10-28 17:18:54,5800,Transportasi,Parkir,Ovo,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7882,106.4234,0.3218,0,0,1,10,5,17,4,0,1,Sat,43,<50k,0,0.09559016625255035,25-34,12300.0,-6500.0,145400.0,193000.0,20771.428571428572,0
TXN0000034,BUDU00002,2023-11-08 22:02:27,11600,Sembako & Kebutuhan Pokok,Pasar Tradisional,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7695,106.4076,0.3343,0,1,0,11,2,22,4,0,0,Wed,45,<50k,0,0.11752823061228612,25-34,5800.0,5800.0,152400.0,204600.0,21771.428571428572,0
TXN0000047,BUDU00002,2023-11-20 18:37:45,43500,Kesehatan,Klinik Pratama,Ovo,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7717,106.4022,0.3306,0,0,0,11,0,18,4,0,0,Mon,47,<50k,0,0.009878189200654506,25-34,11600.0,31900.0,172300.0,248100.0,24614.285714285714,0
TXN0000032,BUDU00002,2024-01-25 20:25:02,12900,Sembako & Kebutuhan Pokok,Warung Sembako,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8288,106.4062,0.2778,0,1,0,1,3,20,1,0,1,Thu,4,<50k,0,0.11752823061228612,25-34,43500.0,-30600.0,162500.0,261000.0,23214.285714285714,0
TXN0000036,BUDU00002,2024-02-22 19:38:41,46800,Pendidikan,Ruangguru,Ovo,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7912,106.4534,0.3312,0,0,0,2,3,19,1,0,0,Thu,8,<50k,0,0.020241197503181624,25-34,12900.0,33900.0,169100.0,307800.0,24157.14285714286,0
TXN0000039,BUDU00002,2024-02-28 17:35:44,3300,Sembako & Kebutuhan Pokok,Lotte Mart,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8286,106.4519,0.2973,0,0,0,2,2,17,1,0,1,Wed,9,<50k,0,0.11752823061228612,25-34,46800.0,-43500.0,136200.0,311100.0,19457.14285714286,0
TXN0000048,BUDU00002,2024-03-30 00:14:00,16800,Sembako & Kebutuhan Pokok,Lotte Mart,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7939,106.4448,0.325,0,0,1,3,5,0,1,0,1,Sat,13,<50k,0,0.11752823061228612,25-34,3300.0,13500.0,140700.0,327900.0,20100.0,0
TXN0000038,BUDU00002,2024-05-18 17:19:01,17500,Sembako & Kebutuhan Pokok,Indomaret,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7878,106.4227,0.322,0,0,1,5,5,17,2,0,0,Sat,20,<50k,0,0.11752823061228612,25-34,16800.0,700.0,152400.0,345400.0,21771.428571428572,0
TXN0000040,BUDU00002,2024-05-27 10:53:19,21100,Sembako & Kebutuhan Pokok,Pasar Tradisional,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7691,106.4708,0.3587,0,0,0,5,0,10,2,0,1,Mon,22,<50k,0,0.11752823061228612,25-34,17500.0,3600.0,161900.0,366500.0,23128.571428571428,0
TXN0000037,BUDU00002,2024-06-03 13:29:22,21000,Pulsa & Data,Indihome,Dana,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7664,106.4347,0.3463,0,0,0,6,0,13,2,1,0,Mon,23,<50k,0,0.04290649051572632,25-34,21100.0,-100.0,139400.0,387500.0,19914.285714285714,0
TXN0000045,BUDU00002,2024-06-21 20:39:48,25900,Sembako & Kebutuhan Pokok,Superindo,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7868,106.4479,0.3328,0,1,0,6,4,20,2,0,0,Fri,25,<50k,0,0.11752823061228612,25-34,21000.0,4900.0,152400.0,413400.0,21771.428571428572,0
TXN0000031,BUDU00002,2024-09-26 03:05:08,29700,Sembako & Kebutuhan Pokok,Superindo,Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.7874,106.4455,0.3312,0,0,0,9,3,3,3,0,1,Thu,39,<50k,0,0.11752823061228612,25-34,25900.0,3800.0,135300.0,443100.0,19328.571428571428,0
TXN0000044,BUDU00002,2024-10-30 13:04:46,7900,Sembako & Kebutuhan Pokok,Alfamart,Gopay,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8517,106.4146,0.2599,0,0,0,10,2,13,4,0,1,Wed,44,<50k,0,0.11752823061228612,25-34,29700.0,-21800.0,139900.0,451000.0,19985.714285714286,0
TXN0000035,BUDU00002,2024-12-25 18:23:19,18100,Pulsa & Data,Tri (3),Tunai,P,25,E,Kelas E (Miskin),Nelayan,Desa Cikaret,Desa,2800,927277,0.853,-6.0883,106.3071,-5.8048,106.4775,0.3308,0,0,0,12,2,18,4,0,1,Wed,52,<50k,0,0.04290649051572632,25-34,7900.0,10200.0,141200.0,469100.0,20171.428571428572,0
TXN0000079,BUDU00003,2023-01-08 05:56:22,37600,Transportasi,Angkot,Gopay,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.6345,99.1842,0.1594,0,0,1,1,6,5,1,0,0,Sun,1,<50k,0,0.09559016625255035,25-34,,0.0,37600.0,37600.0,37600.0,0
TXN0000051,BUDU00003,2023-01-21 08:54:15,67200,Fashion & Pakaian,Matahari Dept Store,Transfer Bank,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5765,99.1347,0.1009,0,0,1,1,5,8,1,0,0,Sat,3,50k-200k,0,0.10189281457689434,25-34,37600.0,29600.0,104800.0,104800.0,52400.0,0
TXN0000054,BUDU00003,2023-02-05 13:53:06,193400,Hiburan,Karaoke,Gopay,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.6521,99.1783,0.1759,0,0,1,2,6,13,1,1,0,Sun,5,50k-200k,0,0.07435912974971214,25-34,67200.0,126200.0,298200.0,298200.0,99400.0,0
TXN0000071,BUDU00003,2023-03-01 12:30:50,109700,Sembako & Kebutuhan Pokok,Alfamart,Kartu Debit,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5712,99.1302,0.0968,0,0,0,3,2,12,1,1,0,Wed,9,50k-200k,0,0.11752823061228612,25-34,193400.0,-83700.0,407900.0,407900.0,101975.0,0
TXN0000060,BUDU00003,2023-03-14 12:58:05,169900,Belanja Online,Blibli,Ovo,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.624,99.1251,0.1494,0,0,0,3,1,12,1,0,0,Tue,11,50k-200k,0,0.13033553522008767,25-34,109700.0,60200.0,577800.0,577800.0,115560.0,0
TXN0000098,BUDU00003,2023-03-15 21:35:05,46700,Fashion & Pakaian,Brand Lokal Ig,Dana,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.635,99.1188,0.1615,0,1,0,3,2,21,1,0,0,Wed,11,<50k,0,0.10189281457689434,25-34,169900.0,-123200.0,624500.0,624500.0,104083.33333333333,0
TXN0000087,BUDU00003,2023-03-29 12:21:42,121800,Transportasi,Gojek,Kartu Debit,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.6206,99.1942,0.1481,0,0,0,3,2,12,1,0,1,Wed,13,50k-200k,0,0.09559016625255035,25-34,46700.0,75100.0,746300.0,746300.0,106614.28571428571,0
TXN0000088,BUDU00003,2023-04-21 08:57:15,43700,Hiburan,Karaoke,Transfer Bank,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5669,99.1582,0.0892,0,0,0,4,4,8,2,0,0,Fri,16,<50k,0,0.07435912974971214,25-34,121800.0,-78100.0,752400.0,790000.0,107485.71428571429,0
TXN0000055,BUDU00003,2023-04-28 15:27:08,335400,Hiburan,Konser Musik,Kartu Debit,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5923,99.1418,0.1154,0,0,0,4,4,15,2,0,1,Fri,17,200k-500k,0,0.07435912974971214,25-34,43700.0,291700.0,1020600.0,1125400.0,145800.0,1
TXN0000103,BUDU00003,2023-05-11 18:36:23,60500,Belanja Online,Lazada,Tunai,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5721,99.1406,0.0956,0,0,0,5,3,18,2,0,0,Thu,19,50k-200k,0,0.13033553522008767,25-34,335400.0,-274900.0,887700.0,1185900.0,126814.28571428571,0
TXN0000091,BUDU00003,2023-05-12 12:03:19,69500,Hiburan,Taman Wisata,Kartu Debit,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5573,99.1801,0.0833,0,0,0,5,4,12,2,0,0,Fri,19,50k-200k,0,0.07435912974971214,25-34,60500.0,9000.0,847500.0,1255400.0,121071.42857142857,0
TXN0000095,BUDU00003,2023-05-26 12:48:58,214100,Hiburan,Konser Musik,Tunai,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.6206,99.1967,0.1487,0,0,0,5,4,12,2,0,1,Fri,21,200k-500k,0,0.07435912974971214,25-34,69500.0,144600.0,891700.0,1469500.0,127385.71428571429,0
TXN0000061,BUDU00003,2023-06-09 16:37:07,78300,Fashion & Pakaian,Pasar Baju,Gopay,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5948,99.1544,0.1171,0,0,0,6,4,16,2,0,0,Fri,23,50k-200k,0,0.10189281457689434,25-34,214100.0,-135800.0,923300.0,1547800.0,131900.0,0
TXN0000099,BUDU00003,2023-07-01 09:43:59,153800,Belanja Online,Blibli,Transfer Bank,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5817,99.2087,0.1169,0,0,1,7,5,9,3,1,0,Sat,26,50k-200k,0,0.13033553522008767,25-34,78300.0,75500.0,955300.0,1701600.0,136471.42857142858,0
TXN0000076,BUDU00003,2023-07-02 08:03:33,161500,Belanja Online,Blibli,Transfer Bank,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.6184,99.2041,0.1489,0,0,1,7,6,8,3,1,0,Sun,26,50k-200k,0,0.13033553522008767,25-34,153800.0,7700.0,1073100.0,1863100.0,153300.0,0
TXN0000092,BUDU00003,2023-07-07 19:19:16,48100,Fashion & Pakaian,Cotton On,Kartu Debit,L,27,C,Kelas C (Menengah),Wirausaha Kecil,Medan,Kota Besar,2400000,4824279,0.703,3.4777,99.1554,3.5674,99.1406,0.0909,0,0,0,7,4,19,3,0,0,Fri,27,<50k,0,0.10189281457689434,25-34,161500.0,-113400.0,785800.0,1911200.0,112257.14285714286,0
