txn_id,user_id,date,amount,category,sub_category,payment_method,gender,usia,segmen,segmen_label,pekerjaan,kota,tier_kota,populasi_kota,user_lat,user_long,merch_lat,merch_long,dist_user_merchant,is_fraud,is_night,is_weekend,month,day_of_week,hour,quarter,is_month_start,is_month_end,age,pendapatan_bulan,spending_ratio,day_name,week,amount_idr_bucket,above_avg,category_freq_enc,age_group,amount_lag1,amount_diff,rolling_7txn,rolling_30txn,rolling_7_mean,is_spike
TXN0000011,BUDU00001,2023-12-25 15:48:02,54100,Pulsa & Data,Tri (3),Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3659,107.1997,0.3286,0,0,0,12,0,15,4,0,1,37,0,0.0,Mon,52,50k-200k,0,0.04232237732571059,35-44,325000.0,-270900.0,615900.0,765300.0,87985.71428571429,0
TXN0000012,BUDU00001,2024-01-26 04:08:50,30700,Fashion & Pakaian,Cotton On,Ovo,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3896,107.2017,0.3493,0,0,0,1,4,4,1,0,1,37,0,0.0,Fri,4,<50k,0,0.10367467323892447,35-44,54100.0,-23400.0,602600.0,796000.0,86085.71428571429,0
TXN0000013,BUDU00001,2024-02-18 00:17:31,49900,Fashion & Pakaian,Uniqlo,Transfer Bank,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3426,107.2478,0.3418,0,0,1,2,6,0,1,0,0,37,0,0.0,Sun,7,<50k,0,0.10367467323892447,35-44,30700.0,19200.0,628400.0,845900.0,89771.42857142857,0
TXN0000014,BUDU00001,2024-03-04 12:03:17,24200,Fashion & Pakaian,Cotton On,Dana,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.405,107.2082,0.3657,0,0,0,3,0,12,1,1,0,37,0,0.0,Mon,10,<50k,0,0.10367467323892447,35-44,49900.0,-25700.0,601900.0,870100.0,85985.71428571429,0
TXN0000015,BUDU00001,2024-05-03 21:09:15,118200,Fashion & Pakaian,Batik Keris,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3882,107.2225,0.3601,0,1,0,5,4,21,2,1,0,37,0,0.0,Fri,18,50k-200k,0,0.10367467323892447,35-44,24200.0,94000.0,656900.0,988300.0,93842.85714285714,0
TXN0000016,BUDU00001,2024-05-04 15:16:23,70000,Hiburan,Cgv Cinemas,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3534,107.2151,0.3281,0,0,1,5,5,15,2,1,0,37,0,0.0,Sat,18,50k-200k,0,0.07264499707076624,35-44,118200.0,-48200.0,672100.0,1058300.0,96014.28571428571,0
TXN0000017,BUDU00001,2024-05-04 17:23:34,145900,Fashion & Pakaian,Batik Keris,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.4094,107.282,0.414,0,0,1,5,5,17,2,1,0,37,0,0.0,Sat,18,50k-200k,0,0.10367467323892447,35-44,70000.0,75900.0,493000.0,1204200.0,70428.57142857143,1
TXN0000018,BUDU00001,2024-05-30 19:17:32,28400,Pulsa & Data,Myrepublic,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3483,107.2245,0.3302,0,0,0,5,3,19,2,0,1,37,0,0.0,Thu,22,<50k,0,0.04232237732571059,35-44,145900.0,-117500.0,467300.0,1232600.0,66757.14285714286,0
TXN0000019,BUDU00001,2024-07-17 06:28:53,158300,Kesehatan,Guardian,Gopay,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.4155,107.2637,0.4069,0,0,0,7,2,6,3,0,0,37,0,0.0,Wed,29,50k-200k,0,0.011393709217995596,35-44,28400.0,129900.0,594900.0,1390900.0,84985.71428571429,0
TXN0000020,BUDU00001,2024-08-07 07:03:11,80400,Makanan & Minuman,Indomie Rebus,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3628,107.2277,0.3433,0,0,0,8,2,7,3,0,0,37,0,0.0,Wed,32,50k-200k,0,0.18739015373426798,35-44,158300.0,-77900.0,625400.0,1471300.0,89342.85714285714,0
TXN0000021,BUDU00001,2024-09-11 07:36:42,12100,Transportasi,Parkir,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.38,107.2551,0.3742,0,0,0,9,2,7,3,0,0,37,0,0.0,Wed,37,<50k,0,0.0957354396880871,35-44,80400.0,-68300.0,613300.0,1483400.0,87614.28571428571,0
TXN0000022,BUDU00001,2024-10-22 19:15:05,15200,Makanan & Minuman,Geprek/Ayam Goreng,Ovo,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3372,107.2675,0.3522,0,0,0,10,1,19,4,0,0,37,0,0.0,Tue,43,<50k,0,0.18739015373426798,35-44,12100.0,3100.0,510300.0,1498600.0,72900.0,0
TXN0000023,BUDU00001,2024-11-18 07:28:17,34400,Pulsa & Data,Telkomsel,Ovo,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.427,107.2277,0.3948,0,0,0,11,0,7,4,0,0,37,0,0.0,Mon,47,<50k,0,0.04232237732571059,35-44,15200.0,19200.0,474700.0,1533000.0,67814.28571428571,0
TXN0000024,BUDU00001,2024-11-19 15:48:58,18300,Transportasi,Gojek,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3922,107.2273,0.3662,0,0,0,11,1,15,4,0,0,37,0,0.0,Tue,47,<50k,0,0.0957354396880871,35-44,34400.0,-16100.0,347100.0,1551300.0,49585.71428571428,0
TXN0000025,BUDU00001,2024-11-27 17:56:09,125900,Pendidikan,Ruangguru,Tunai,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.4175,107.2587,0.4053,0,0,0,11,2,17,4,0,1,37,0,0.0,Wed,48,50k-200k,0,0.019514757277630756,35-44,18300.0,107600.0,444600.0,1677200.0,63514.28571428572,0
TXN0000026,BUDU00001,2024-12-11 23:21:57,64900,Pulsa & Data,Indihome,Ovo,P,37,D,Kelas D (Menengah Bawah),Pedagang Warung,Desa Rawa Indah,Desa,6500,-6.0989,107.0081,-6.3981,107.2886,0.4101,0,1,0,12,2,23,4,0,0,37,0,0.0,Wed,50,50k-200k,0,0.04232237732571059,35-44,125900.0,-61000.0,351200.0,1742100.0,50171.42857142857,0
TXN0000027,BUDU00002,2023-01-14 07:22:11,7000,Pulsa & Data,Telkomsel,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5772,109.6031,0.1284,0,0,1,1,5,7,1,0,0,40,0,0.0,Sat,2,<50k,0,0.04232237732571059,35-44,,0.0,7000.0,7000.0,7000.0,0
TXN0000028,BUDU00002,2023-01-24 13:43:19,6800,Pulsa & Data,Tri (3),Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.6272,109.6236,0.1349,0,0,0,1,1,13,1,0,0,40,0,0.0,Tue,4,<50k,0,0.04232237732571059,35-44,7000.0,-200.0,13800.0,13800.0,6900.0,0
TXN0000029,BUDU00002,2023-03-07 20:00:39,14600,Sembako & Kebutuhan Pokok,Giant,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.6264,109.5397,0.2055,0,1,0,3,1,20,1,0,0,40,0,0.0,Tue,10,<50k,0,0.11609866467344095,35-44,6800.0,7800.0,28400.0,28400.0,9466.666666666666,0
TXN0000030,BUDU00002,2023-04-10 21:43:13,12100,Pendidikan,Udemy,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5983,109.6222,0.1192,0,1,0,4,0,21,2,0,0,40,0,0.0,Mon,15,<50k,0,0.019514757277630756,35-44,14600.0,-2500.0,40500.0,40500.0,10125.0,0
TXN0000031,BUDU00002,2023-06-01 16:40:35,4500,Transportasi,Parkir,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5998,109.5954,0.1437,0,0,0,6,3,16,2,1,0,40,0,0.0,Thu,22,<50k,0,0.0957354396880871,35-44,12100.0,-7600.0,45000.0,45000.0,9000.0,0
TXN0000032,BUDU00002,2023-07-05 21:44:17,40200,Sembako & Kebutuhan Pokok,Lotte Mart,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.615,109.5484,0.1929,0,1,0,7,2,21,3,1,0,40,0,0.0,Wed,27,<50k,0,0.11609866467344095,35-44,4500.0,35700.0,85200.0,85200.0,14200.0,1
TXN0000033,BUDU00002,2023-09-07 18:01:14,41400,Pendidikan,Buku Teks,Dana,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5809,109.5867,0.1451,0,0,0,9,3,18,3,0,0,40,0,0.0,Thu,36,<50k,0,0.019514757277630756,35-44,40200.0,1200.0,126600.0,126600.0,18085.714285714286,1
TXN0000034,BUDU00002,2023-10-15 15:17:18,33600,Makanan & Minuman,Jus Buah,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.551,109.6168,0.1095,0,0,1,10,6,15,4,0,0,40,0,0.0,Sun,41,<50k,0,0.18739015373426798,35-44,41400.0,-7800.0,153200.0,160200.0,21885.714285714286,0
TXN0000035,BUDU00002,2023-10-30 09:53:13,6200,Pulsa & Data,Myrepublic,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5307,109.5297,0.1962,0,0,0,10,0,9,4,0,1,40,0,0.0,Mon,44,<50k,0,0.04232237732571059,35-44,33600.0,-27400.0,152600.0,166400.0,21800.0,0
TXN0000036,BUDU00002,2023-11-10 19:40:59,82200,Pendidikan,Bimbel Primagama,Dana,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.6216,109.5538,0.1907,0,0,0,11,4,19,4,0,0,40,0,0.0,Fri,45,50k-200k,0,0.019514757277630756,35-44,6200.0,76000.0,220200.0,248600.0,31457.14285714286,1
TXN0000037,BUDU00002,2023-11-30 15:37:44,4600,Sembako & Kebutuhan Pokok,Alfamart,Ovo,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5508,109.5685,0.1576,0,0,0,11,3,15,4,0,1,40,0,0.0,Thu,48,<50k,0,0.11609866467344095,35-44,82200.0,-77600.0,212700.0,253200.0,30385.714285714286,0
TXN0000038,BUDU00002,2023-12-19 20:20:30,16900,Makanan & Minuman,Jus Buah,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5978,109.5879,0.1498,0,1,0,12,1,20,4,0,0,40,0,0.0,Tue,51,<50k,0,0.18739015373426798,35-44,4600.0,12300.0,225100.0,270100.0,32157.14285714286,0
TXN0000039,BUDU00002,2023-12-22 19:52:54,8400,Pulsa & Data,Myrepublic,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.6079,109.5322,0.2054,0,0,0,12,4,19,4,0,0,40,0,0.0,Fri,51,<50k,0,0.04232237732571059,35-44,16900.0,-8500.0,193300.0,278500.0,27614.285714285714,0
TXN0000040,BUDU00002,2024-01-18 07:03:05,43400,Pulsa & Data,Indihome,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5764,109.62,0.1121,0,0,0,1,3,7,1,0,0,40,0,0.0,Thu,3,<50k,0,0.04232237732571059,35-44,8400.0,35000.0,195300.0,321900.0,27900.0,0
TXN0000041,BUDU00002,2024-02-22 19:50:50,8600,Makanan & Minuman,Mie Ayam & Bakso,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5698,109.6014,0.128,0,0,0,2,3,19,1,0,0,40,0,0.0,Thu,8,<50k,0,0.18739015373426798,35-44,43400.0,-34800.0,170300.0,330500.0,24328.571428571428,0
TXN0000042,BUDU00002,2024-05-18 17:38:05,9900,Makanan & Minuman,Warteg,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5484,109.568,0.158,0,0,1,5,5,17,2,0,0,40,0,0.0,Sat,20,<50k,0,0.18739015373426798,35-44,8600.0,1300.0,174000.0,340400.0,24857.14285714286,0
TXN0000043,BUDU00002,2024-06-20 20:54:45,28200,Makanan & Minuman,Geprek/Ayam Goreng,Dana,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5372,109.5601,0.1656,0,1,0,6,3,20,2,0,0,40,0,0.0,Thu,25,<50k,0,0.18739015373426798,35-44,9900.0,18300.0,120000.0,368600.0,17142.85714285714,0
TXN0000044,BUDU00002,2024-07-05 20:25:07,19800,Sembako & Kebutuhan Pokok,Giant,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5376,109.5781,0.1476,0,1,0,7,4,20,3,1,0,40,0,0.0,Fri,27,<50k,0,0.11609866467344095,35-44,28200.0,-8400.0,135200.0,388400.0,19314.285714285714,0
TXN0000045,BUDU00002,2024-07-06 10:46:13,11600,Transportasi,Bus Kota,Ovo,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.6183,109.6108,0.1396,0,0,1,7,5,10,3,0,0,40,0,0.0,Sat,27,<50k,0,0.0957354396880871,35-44,19800.0,-8200.0,129900.0,400000.0,18557.14285714286,0
TXN0000046,BUDU00002,2024-08-14 15:29:40,70700,Makanan & Minuman,Kopi Jahe/Wedang,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5739,109.5506,0.1785,0,0,0,8,2,15,3,0,0,40,0,0.0,Wed,33,50k-200k,0,0.18739015373426798,35-44,11600.0,59100.0,192200.0,470700.0,27457.14285714286,1
TXN0000047,BUDU00002,2024-10-23 12:58:02,33200,Pendidikan,Coursera,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5668,109.5764,0.1518,1,0,0,10,2,12,4,0,0,40,0,0.0,Wed,43,<50k,0,0.019514757277630756,35-44,70700.0,-37500.0,182000.0,503900.0,26000.0,0
TXN0000048,BUDU00002,2024-11-20 17:46:58,2900,Transportasi,Toll,Tunai,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.54,109.6019,0.1238,0,0,0,11,2,17,4,0,0,40,0,0.0,Wed,47,<50k,0,0.0957354396880871,35-44,33200.0,-30300.0,176300.0,506800.0,25185.714285714286,0
TXN0000049,BUDU00002,2024-12-14 13:53:14,44100,Transportasi,Krl Commuter,Gopay,P,40,E,Kelas E (Miskin),Buruh Tani,Purwokerto,Kota Kecil,290000,-7.5391,109.7257,-7.5539,109.5399,0.1864,0,0,1,12,5,13,4,0,0,40,0,0.0,Sat,50,<50k,0,0.0957354396880871,35-44,2900.0,41200.0,210500.0,550900.0,30071.428571428572,0
TXN0000050,BUDU00003,2023-03-11 12:48:59,7700,Pulsa & Data,Tri (3),Gopay,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4109,112.773,0.2479,0,0,1,3,5,12,1,0,0,18,0,0.0,Sat,10,<50k,0,0.04232237732571059,18-24,,0.0,7700.0,7700.0,7700.0,0
TXN0000051,BUDU00003,2023-08-14 14:21:47,5100,Sembako & Kebutuhan Pokok,Giant,Ovo,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.347,112.834,0.3356,0,0,0,8,0,14,3,0,0,18,0,0.0,Mon,33,<50k,0,0.11609866467344095,18-24,7700.0,-2600.0,12800.0,12800.0,6400.0,0
TXN0000052,BUDU00003,2023-08-18 17:43:57,7100,Sembako & Kebutuhan Pokok,Hypermart,Dana,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4203,112.8398,0.2987,0,0,0,8,4,17,3,0,0,18,0,0.0,Fri,33,<50k,0,0.11609866467344095,18-24,5100.0,2000.0,19900.0,19900.0,6633.333333333333,0
TXN0000053,BUDU00003,2023-09-16 08:43:01,32400,Sembako & Kebutuhan Pokok,Alfamart,Gopay,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.42,112.8286,0.2891,0,0,1,9,5,8,3,0,0,18,0,0.0,Sat,37,<50k,0,0.11609866467344095,18-24,7100.0,25300.0,52300.0,52300.0,13075.0,1
TXN0000054,BUDU00003,2023-09-21 17:04:12,17700,Sembako & Kebutuhan Pokok,Pasar Tradisional,Gopay,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3436,112.8108,0.3206,0,0,0,9,3,17,3,0,0,18,0,0.0,Thu,38,<50k,0,0.11609866467344095,18-24,32400.0,-14700.0,70000.0,70000.0,14000.0,0
TXN0000055,BUDU00003,2023-10-07 07:25:37,6000,Makanan & Minuman,Gofood/Grabfood,Gopay,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3514,112.8296,0.3294,0,0,1,10,5,7,4,0,0,18,0,0.0,Sat,40,<50k,0,0.18739015373426798,18-24,17700.0,-11700.0,76000.0,76000.0,12666.666666666666,0
TXN0000056,BUDU00003,2023-11-16 08:02:41,10400,Sembako & Kebutuhan Pokok,Pasar Tradisional,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4344,112.7493,0.2148,0,0,0,11,3,8,4,0,0,18,0,0.0,Thu,46,<50k,0,0.11609866467344095,18-24,6000.0,4400.0,86400.0,86400.0,12342.857142857143,0
TXN0000057,BUDU00003,2023-12-19 17:32:58,26000,Sembako & Kebutuhan Pokok,Warung Sembako,Ovo,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3561,112.7467,0.2677,0,0,0,12,1,17,4,0,0,18,0,0.0,Tue,51,<50k,0,0.11609866467344095,18-24,10400.0,15600.0,104700.0,112400.0,14957.142857142857,0
TXN0000058,BUDU00003,2024-01-09 13:10:38,7500,Sembako & Kebutuhan Pokok,Alfamart,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3631,112.7927,0.294,0,0,0,1,1,13,1,0,0,18,0,0.0,Tue,2,<50k,0,0.11609866467344095,18-24,26000.0,-18500.0,107100.0,119900.0,15300.0,0
TXN0000059,BUDU00003,2024-02-04 18:15:29,14800,Sembako & Kebutuhan Pokok,Pasar Tradisional,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4337,112.825,0.2793,0,0,1,2,6,18,1,1,0,18,0,0.0,Sun,5,<50k,0,0.11609866467344095,18-24,7500.0,7300.0,114800.0,134700.0,16400.0,0
TXN0000060,BUDU00003,2024-03-14 17:34:43,35800,Sembako & Kebutuhan Pokok,Lotte Mart,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3415,112.8281,0.3348,0,0,0,3,3,17,1,0,0,18,0,0.0,Thu,11,<50k,0,0.11609866467344095,18-24,14800.0,21000.0,118200.0,170500.0,16885.714285714286,1
TXN0000061,BUDU00003,2024-03-21 13:11:16,21400,Pulsa & Data,Tri (3),Gopay,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4007,112.8121,0.2855,0,0,0,3,3,13,1,0,0,18,0,0.0,Thu,12,<50k,0,0.04232237732571059,18-24,35800.0,-14400.0,121900.0,191900.0,17414.285714285714,0
TXN0000062,BUDU00003,2024-04-21 18:15:41,5700,Sembako & Kebutuhan Pokok,Pasar Tradisional,Ovo,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3643,112.7478,0.2621,0,0,1,4,6,18,2,0,0,18,0,0.0,Sun,16,<50k,0,0.11609866467344095,18-24,21400.0,-15700.0,121600.0,197600.0,17371.428571428572,0
TXN0000063,BUDU00003,2024-07-07 21:35:39,9700,Transportasi,Krl Commuter,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4171,112.8443,0.3042,0,1,1,7,6,21,3,0,0,18,0,0.0,Sun,27,<50k,0,0.0957354396880871,18-24,5700.0,4000.0,120900.0,207300.0,17271.428571428572,0
TXN0000064,BUDU00003,2024-08-12 17:24:01,31300,Makanan & Minuman,Geprek/Ayam Goreng,Tunai,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.4146,112.8113,0.2771,0,0,0,8,0,17,3,0,0,18,0,0.0,Mon,33,<50k,0,0.18739015373426798,18-24,9700.0,21600.0,126200.0,238600.0,18028.571428571428,0
TXN0000065,BUDU00003,2024-09-05 16:29:51,9600,Transportasi,Bbm Pertamina,Ovo,P,18,E,Kelas E (Miskin),Buruh Pabrik,Blitar,Kota Kecil,150000,-8.5639,112.5779,-8.3552,112.7859,0.2947,0,0,0,9,3,16,3,1,0,18,0,0.0,Thu,36,<50k,0,0.0957354396880871,18-24,31300.0,-21700.0,128300.0,248200.0,18328.571428571428,0
